firstname,middlename,lastname,qualifier,title,role,organization,rank
Benjamin,,Mueller,,,reported,,1
Eleanor,,Lutz,,,reported,,2
Rachel,,Nuwer,,,reported,,1
Emily,,Anthes,,,reported,,1
Asher,,Elbein,,,reported,,1
Dalmeet,Singh,Chawla,,,reported,,1
Jason,,Bittel,,,reported,,1
Franz,,Lidz,,,reported,,1
Nicholas,,Bakalar,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Kenneth,,Chang,,,reported,,1
Alex,,Marshall,,,reported,,1
Cade,,Metz,,,reported,,1
Joshua,Rapp,Learn,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Emily,,Anthes,,,reported,,1
Kenneth,,Chang,,,reported,,1
Roni,Caryn,Rabin,,,reported,,1
Nasa,,Tv,,,reported,,1
,,,,,reported,,2
Carolyn,,Wilke,,,reported,,1
Emily,,Anthes,,,reported,,1
Kenneth,,Chang,,,reported,,1
Azeen,,Ghorayshi,,,reported,,1
Jan,,Hoffman,,,reported,,1
Jason,,Bittel,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Pam,,Belluck,,,reported,,1
Elizabeth,,Preston,,,reported,,1
Veronique,,Greenwood,,,reported,,1
Carl,,Zimmer,,,reported,,1
Sarah,,Scoles,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Amos,,Zeeberg,,,reported,,1
Nicholas,,Bakalar,,,reported,,1
Jennifer,,Pinkowski,,,reported,,1
Pam,,Belluck,,,reported,,1
Ferris,,Jabr,,,reported,,1
Dennis,,Overbye,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Gina,,Kolata,,,reported,,1
Henry,,Fountain,,,reported,,1
Benjamin,,Mueller,,,reported,,1
Matt,,Richtel,,,reported,,1
Annie,,Flanagan,,,reported,,2
Katharine,Q.,Seelye,,,reported,,1
Veronique,,Greenwood,,,reported,,1
Sam,,Jones,,,reported,,1
Paula,,Span,,,reported,,1
Matt,,Richtel,,,reported,,1
Annie,,Flanagan,,,reported,,2
Anthony,,Ham,,,reported,,1
Dennis,,Overbye,,,reported,,1
Jack,,Tamisiea,,,reported,,1
Annie,,Roth,,,reported,,1
Catrin,,Einhorn,,,reported,,1
Roni,Caryn,Rabin,,,reported,,1
